x,y,reservoirThickness,shale1Thickness,aquifer1Thickness,shale2Thickness,aquifer2Thickness,shale3Thickness
2000,5000,44.5,223.75,63.75,172.5,230.5,387.5
3000,5000,45.5,228.75,66.25,173.75,229.5,386.25
4000,5000,46.5,233.75,68.75,175.0,228.5,385.0
5000,5000,47.5,238.75,71.25,176.25,227.5,383.75
6000,5000,48.5,243.75,73.75,177.5,226.5,382.5
7000,5000,49.5,248.75,76.25,178.75,225.5,381.25
8000,5000,50.5,253.75,78.75,180.0,224.5,380.0
9000,5000,51.5,258.75,81.25,181.25,223.5,378.75
10000,5000,52.5,263.75,83.75,182.5,222.5,377.5
11000,5000,53.5,268.75,86.25,183.75,221.5,376.25
12000,5000,54.5,273.75,88.75,185.0,220.5,375.0
13000,5000,55.5,278.75,91.25,186.25,219.5,373.75
14000,5000,56.5,283.75,93.75,187.5,218.5,372.5
15000,5000,57.5,288.75,96.25,188.75,217.5,371.25
16000,5000,58.5,293.75,98.75,190.0,216.5,370.0
17000,5000,59.5,298.75,101.25,191.25,215.5,368.75
18000,5000,60.5,303.75,103.75,192.5,214.5,367.5
19000,5000,61.5,308.75,106.25,193.75,213.5,366.25
20000,5000,62.5,313.75,108.75,195.0,212.5,365.0
21000,5000,63.5,318.75,111.25,196.25,211.5,363.75
22000,5000,64.5,323.75,113.75,197.5,210.5,362.5
23000,5000,65.5,328.75,116.25,198.75,209.5,361.25
24000,5000,66.5,333.75,118.75,200.0,208.5,360.0
25000,5000,67.5,338.75,121.25,201.25,207.5,358.75
26000,5000,68.5,343.75,123.75,202.5,206.5,357.5
27000,5000,69.5,348.75,126.25,203.75,205.5,356.25
28000,5000,70.5,353.75,128.75,205.0,204.5,355.0
29000,5000,71.5,358.75,131.25,206.25,203.5,353.75
30000,5000,72.5,363.75,133.75,207.5,202.5,352.5
31000,5000,73.5,368.75,136.25,208.75,201.5,351.25
32000,5000,74.5,373.75,138.75,210.0,200.5,350.0
33000,5000,75.5,378.75,141.25,211.25,199.5,348.75
34000,5000,76.5,383.75,143.75,212.5,198.5,347.5
35000,5000,77.5,388.75,146.25,213.75,197.5,346.25
36000,5000,78.5,393.75,148.75,215.0,196.5,345.0
37000,5000,79.5,398.75,151.25,216.25,195.5,343.75
38000,5000,80.5,403.75,153.75,217.5,194.5,342.5
39000,5000,81.5,408.75,156.25,218.75,193.5,341.25
40000,5000,82.5,413.75,158.75,220.0,192.5,340.0
0,6000,43.0,214.5,59.5,171.0,230.0,385.0
1000,6000,44.0,219.5,62.0,172.25,229.0,383.75
2000,6000,45.0,224.5,64.5,173.5,228.0,382.5
3000,6000,46.0,229.5,67.0,174.75,227.0,381.25
4000,6000,47.0,234.5,69.5,176.0,226.0,380.0
5000,6000,48.0,239.5,72.0,177.25,225.0,378.75
6000,6000,49.0,244.5,74.5,178.5,224.0,377.5
7000,6000,50.0,249.5,77.0,179.75,223.0,376.25
8000,6000,51.0,254.5,79.5,181.0,222.0,375.0
9000,6000,52.0,259.5,82.0,182.25,221.0,373.75
10000,6000,53.0,264.5,84.5,183.5,220.0,372.5
11000,6000,54.0,269.5,87.0,184.75,219.0,371.25
12000,6000,55.0,274.5,89.5,186.0,218.0,370.0
13000,6000,56.0,279.5,92.0,187.25,217.0,368.75
14000,6000,57.0,284.5,94.5,188.5,216.0,367.5
15000,6000,58.0,289.5,97.0,189.75,215.0,366.25
16000,6000,59.0,294.5,99.5,191.0,214.0,365.0
17000,6000,60.0,299.5,102.0,192.25,213.0,363.75
18000,6000,61.0,304.5,104.5,193.5,212.0,362.5
19000,6000,62.0,309.5,107.0,194.75,211.0,361.25
20000,6000,63.0,314.5,109.5,196.0,210.0,360.0
21000,6000,64.0,319.5,112.0,197.25,209.0,358.75
22000,6000,65.0,324.5,114.5,198.5,208.0,357.5
23000,6000,66.0,329.5,117.0,199.75,207.0,356.25
24000,6000,67.0,334.5,119.5,201.0,206.0,355.0
25000,6000,68.0,339.5,122.0,202.25,205.0,353.75
26000,6000,69.0,344.5,124.5,203.5,204.0,352.5
27000,6000,70.0,349.5,127.0,204.75,203.0,351.25
28000,6000,71.0,354.5,129.5,206.0,202.0,350.0
29000,6000,72.0,359.5,132.0,207.25,201.0,348.75
30000,6000,73.0,364.5,134.5,208.5,200.0,347.5
31000,6000,74.0,369.5,137.0,209.75,199.0,346.25
32000,6000,75.0,374.5,139.5,211.0,198.0,345.0
33000,6000,76.0,379.5,142.0,212.25,197.0,343.75
34000,6000,77.0,384.5,144.5,213.5,196.0,342.5
35000,6000,78.0,389.5,147.0,214.75,195.0,341.25
36000,6000,79.0,394.5,149.5,216.0,194.0,340.0
37000,6000,80.0,399.5,152.0,217.25,193.0,338.75
38000,6000,81.0,404.5,154.5,218.5,192.0,337.5
39000,6000,82.0,409.5,157.0,219.75,191.0,336.25
40000,6000,83.0,414.5,159.5,221.0,190.0,335.0
0,7000,43.5,215.25,60.25,172.0,227.5,380.0
1000,7000,44.5,220.25,62.75,173.25,226.5,378.75
2000,7000,45.5,225.25,65.25,174.5,225.5,377.5
3000,7000,46.5,230.25,67.75,175.75,224.5,376.25
4000,7000,47.5,235.25,70.25,177.0,223.5,375.0
5000,7000,48.5,240.25,72.75,178.25,222.5,373.75
6000,7000,49.5,245.25,75.25,179.5,221.5,372.5
7000,7000,50.5,250.25,77.75,180.75,220.5,371.25
8000,7000,51.5,255.25,80.25,182.0,219.5,370.0
9000,7000,52.5,260.25,82.75,183.25,218.5,368.75
10000,7000,53.5,265.25,85.25,184.5,217.5,367.5
11000,7000,54.5,270.25,87.75,185.75,216.5,366.25
12000,7000,55.5,275.25,90.25,187.0,215.5,365.0
13000,7000,56.5,280.25,92.75,188.25,214.5,363.75
14000,7000,57.5,285.25,95.25,189.5,213.5,362.5
15000,7000,58.5,290.25,97.75,190.75,212.5,361.25
16000,7000,59.5,295.25,100.25,192.0,211.5,360.0
17000,7000,60.5,300.25,102.75,193.25,210.5,358.75
18000,7000,61.5,305.25,105.25,194.5,209.5,357.5
19000,7000,62.5,310.25,107.75,195.75,208.5,356.25
20000,7000,63.5,315.25,110.25,197.0,207.5,355.0
21000,7000,64.5,320.25,112.75,198.25,206.5,353.75
22000,7000,65.5,325.25,115.25,199.5,205.5,352.5
23000,7000,66.5,330.25,117.75,200.75,204.5,351.25
24000,7000,67.5,335.25,120.25,202.0,203.5,350.0
25000,7000,68.5,340.25,122.75,203.25,202.5,348.75
26000,7000,69.5,345.25,125.25,204.5,201.5,347.5
27000,7000,70.5,350.25,127.75,205.75,200.5,346.25
28000,7000,71.5,355.25,130.25,207.0,199.5,345.0
29000,7000,72.5,360.25,132.75,208.25,198.5,343.75
30000,7000,73.5,365.25,135.25,209.5,197.5,342.5
31000,7000,74.5,370.25,137.75,210.75,196.5,341.25
32000,7000,75.5,375.25,140.25,212.0,195.5,340.0
33000,7000,76.5,380.25,142.75,213.25,194.5,338.75
34000,7000,77.5,385.25,145.25,214.5,193.5,337.5
35000,7000,78.5,390.25,147.75,215.75,192.5,336.25
36000,7000,79.5,395.25,150.25,217.0,191.5,335.0
37000,7000,80.5,400.25,152.75,218.25,190.5,333.75
38000,7000,81.5,405.25,155.25,219.5,189.5,332.5
39000,7000,82.5,410.25,157.75,220.75,188.5,331.25
40000,7000,83.5,415.25,160.25,222.0,187.5,330.0
0,8000,44.0,216.0,61.0,173.0,225.0,375.0
1000,8000,45.0,221.0,63.5,174.25,224.0,373.75
2000,8000,46.0,226.0,66.0,175.5,223.0,372.5
3000,8000,47.0,231.0,68.5,176.75,222.0,371.25
4000,8000,48.0,236.0,71.0,178.0,221.0,370.0
5000,8000,49.0,241.0,73.5,179.25,220.0,368.75
6000,8000,50.0,246.0,76.0,180.5,219.0,367.5
7000,8000,51.0,251.0,78.5,181.75,218.0,366.25
8000,8000,52.0,256.0,81.0,183.0,217.0,365.0
9000,8000,53.0,261.0,83.5,184.25,216.0,363.75
10000,8000,54.0,266.0,86.0,185.5,215.0,362.5
11000,8000,55.0,271.0,88.5,186.75,214.0,361.25
12000,8000,56.0,276.0,91.0,188.0,213.0,360.0
13000,8000,57.0,281.0,93.5,189.25,212.0,358.75
14000,8000,58.0,286.0,96.0,190.5,211.0,357.5
15000,8000,59.0,291.0,98.5,191.75,210.0,356.25
16000,8000,60.0,296.0,101.0,193.0,209.0,355.0
17000,8000,61.0,301.0,103.5,194.25,208.0,353.75
18000,8000,62.0,306.0,106.0,195.5,207.0,352.5
19000,8000,63.0,311.0,108.5,196.75,206.0,351.25
20000,8000,64.0,316.0,111.0,198.0,205.0,350.0
21000,8000,65.0,321.0,113.5,199.25,204.0,348.75
22000,8000,66.0,326.0,116.0,200.5,203.0,347.5
23000,8000,67.0,331.0,118.5,201.75,202.0,346.25
24000,8000,68.0,336.0,121.0,203.0,201.0,345.0
25000,8000,69.0,341.0,123.5,204.25,200.0,343.75
26000,8000,70.0,346.0,126.0,205.5,199.0,342.5
27000,8000,71.0,351.0,128.5,206.75,198.0,341.25
28000,8000,72.0,356.0,131.0,208.0,197.0,340.0
29000,8000,73.0,361.0,133.5,209.25,196.0,338.75
30000,8000,74.0,366.0,136.0,210.5,195.0,337.5
31000,8000,75.0,371.0,138.5,211.75,194.0,336.25
32000,8000,76.0,376.0,141.0,213.0,193.0,335.0
33000,8000,77.0,381.0,143.5,214.25,192.0,333.75
34000,8000,78.0,386.0,146.0,215.5,191.0,332.5
35000,8000,79.0,391.0,148.5,216.75,190.0,331.25
36000,8000,80.0,396.0,151.0,218.0,189.0,330.0
37000,8000,81.0,401.0,153.5,219.25,188.0,328.75
38000,8000,82.0,406.0,156.0,220.5,187.0,327.5
39000,8000,83.0,411.0,158.5,221.75,186.0,326.25
40000,8000,84.0,416.0,161.0,223.0,185.0,325.0
0,9000,44.5,216.75,61.75,174.0,222.5,370.0
1000,9000,45.5,221.75,64.25,175.25,221.5,368.75
2000,9000,46.5,226.75,66.75,176.5,220.5,367.5
3000,9000,47.5,231.75,69.25,177.75,219.5,366.25
4000,9000,48.5,236.75,71.75,179.0,218.5,365.0
5000,9000,49.5,241.75,74.25,180.25,217.5,363.75
6000,9000,50.5,246.75,76.75,181.5,216.5,362.5
7000,9000,51.5,251.75,79.25,182.75,215.5,361.25
8000,9000,52.5,256.75,81.75,184.0,214.5,360.0
9000,9000,53.5,261.75,84.25,185.25,213.5,358.75
10000,9000,54.5,266.75,86.75,186.5,212.5,357.5
11000,9000,55.5,271.75,89.25,187.75,211.5,356.25
12000,9000,56.5,276.75,91.75,189.0,210.5,355.0
13000,9000,57.5,281.75,94.25,190.25,209.5,353.75
14000,9000,58.5,286.75,96.75,191.5,208.5,352.5
15000,9000,59.5,291.75,99.25,192.75,207.5,351.25
16000,9000,60.5,296.75,101.75,194.0,206.5,350.0
17000,9000,61.5,301.75,104.25,195.25,205.5,348.75
18000,9000,62.5,306.75,106.75,196.5,204.5,347.5
19000,9000,63.5,311.75,109.25,197.75,203.5,346.25
20000,9000,64.5,316.75,111.75,199.0,202.5,345.0
21000,9000,65.5,321.75,114.25,200.25,201.5,343.75
22000,9000,66.5,326.75,116.75,201.5,200.5,342.5
23000,9000,67.5,331.75,119.25,202.75,199.5,341.25
24000,9000,68.5,336.75,121.75,204.0,198.5,340.0
25000,9000,69.5,341.75,124.25,205.25,197.5,338.75
26000,9000,70.5,346.75,126.75,206.5,196.5,337.5
27000,9000,71.5,351.75,129.25,207.75,195.5,336.25
28000,9000,72.5,356.75,131.75,209.0,194.5,335.0
29000,9000,73.5,361.75,134.25,210.25,193.5,333.75
30000,9000,74.5,366.75,136.75,211.5,192.5,332.5
31000,9000,75.5,371.75,139.25,212.75,191.5,331.25
32000,9000,76.5,376.75,141.75,214.0,190.5,330.0
33000,9000,77.5,381.75,144.25,215.25,189.5,328.75
34000,9000,78.5,386.75,146.75,216.5,188.5,327.5
35000,9000,79.5,391.75,149.25,217.75,187.5,326.25
36000,9000,80.5,396.75,151.75,219.0,186.5,325.0
37000,9000,81.5,401.75,154.25,220.25,185.5,323.75
38000,9000,82.5,406.75,156.75,221.5,184.5,322.5
39000,9000,83.5,411.75,159.25,222.75,183.5,321.25
40000,9000,84.5,416.75,161.75,224.0,182.5,320.0
0,10000,45.0,217.5,62.5,175.0,220.0,365.0
1000,10000,46.0,222.5,65.0,176.25,219.0,363.75
2000,10000,47.0,227.5,67.5,177.5,218.0,362.5
3000,10000,48.0,232.5,70.0,178.75,217.0,361.25
4000,10000,49.0,237.5,72.5,180.0,216.0,360.0
5000,10000,50.0,242.5,75.0,181.25,215.0,358.75
6000,10000,51.0,247.5,77.5,182.5,214.0,357.5
7000,10000,52.0,252.5,80.0,183.75,213.0,356.25
8000,10000,53.0,257.5,82.5,185.0,212.0,355.0
9000,10000,54.0,262.5,85.0,186.25,211.0,353.75
10000,10000,55.0,267.5,87.5,187.5,210.0,352.5
11000,10000,56.0,272.5,90.0,188.75,209.0,351.25
12000,10000,57.0,277.5,92.5,190.0,208.0,350.0
13000,10000,58.0,282.5,95.0,191.25,207.0,348.75
14000,10000,59.0,287.5,97.5,192.5,206.0,347.5
15000,10000,60.0,292.5,100.0,193.75,205.0,346.25
16000,10000,61.0,297.5,102.5,195.0,204.0,345.0
17000,10000,62.0,302.5,105.0,196.25,203.0,343.75
18000,10000,63.0,307.5,107.5,197.5,202.0,342.5
19000,10000,64.0,312.5,110.0,198.75,201.0,341.25
20000,10000,65.0,317.5,112.5,200.0,200.0,340.0
21000,10000,66.0,322.5,115.0,201.25,199.0,338.75
22000,10000,67.0,327.5,117.5,202.5,198.0,337.5
23000,10000,68.0,332.5,120.0,203.75,197.0,336.25
24000,10000,69.0,337.5,122.5,205.0,196.0,335.0
25000,10000,70.0,342.5,125.0,206.25,195.0,333.75
26000,10000,71.0,347.5,127.5,207.5,194.0,332.5
27000,10000,72.0,352.5,130.0,208.75,193.0,331.25
28000,10000,73.0,357.5,132.5,210.0,192.0,330.0
29000,10000,74.0,362.5,135.0,211.25,191.0,328.75
30000,10000,75.0,367.5,137.5,212.5,190.0,327.5
31000,10000,76.0,372.5,140.0,213.75,189.0,326.25
32000,10000,77.0,377.5,142.5,215.0,188.0,325.0
33000,10000,78.0,382.5,145.0,216.25,187.0,323.75
34000,10000,79.0,387.5,147.5,217.5,186.0,322.5
35000,10000,80.0,392.5,150.0,218.75,185.0,321.25
36000,10000,81.0,397.5,152.5,220.0,184.0,320.0
37000,10000,82.0,402.5,155.0,221.25,183.0,318.75
38000,10000,83.0,407.5,157.5,222.5,182.0,317.5
39000,10000,84.0,412.5,160.0,223.75,181.0,316.25
40000,10000,85.0,417.5,162.5,225.0,180.0,315.0
0,11000,45.5,218.25,63.25,176.0,217.5,360.0
1000,11000,46.5,223.25,65.75,177.25,216.5,358.75
2000,11000,47.5,228.25,68.25,178.5,215.5,357.5
3000,11000,48.5,233.25,70.75,179.75,214.5,356.25
4000,11000,49.5,238.25,73.25,181.0,213.5,355.0
5000,11000,50.5,243.25,75.75,182.25,212.5,353.75
6000,11000,51.5,248.25,78.25,183.5,211.5,352.5
7000,11000,52.5,253.25,80.75,184.75,210.5,351.25
8000,11000,53.5,258.25,83.25,186.0,209.5,350.0
9000,11000,54.5,263.25,85.75,187.25,208.5,348.75
10000,11000,55.5,268.25,88.25,188.5,207.5,347.5
11000,11000,56.5,273.25,90.75,189.75,206.5,346.25
12000,11000,57.5,278.25,93.25,191.0,205.5,345.0
